App Name,Category,Installs,Revenue,Type,Android Version,Size (MB),Content Rating
FitLife Pro,Health & Fitness,50000,12000,Paid,5,25,Everyone
FitTrack,Health & Fitness,75000,0,Free,6,20,Everyone
Yoga Studio,Health & Fitness,100000,15000,Paid,5.1,18,Everyone
Daily Yoga,Health & Fitness,120000,0,Free,7,22,Everyone
BudgetMaster,Finance,85000,17000,Paid,5,30,Everyone
MoneySaver,Finance,95000,0,Free,6,19,Everyone
InvestEasy,Finance,110000,18000,Paid,7,21,Everyone
SpendTrack,Finance,105000,0,Free,6,20,Everyone
LearnX,Education,80000,13000,Paid,5,22,Everyone
QuickLearn,Education,98000,0,Free,6.1,24,Everyone
Smart Study,Education,102000,14000,Paid,5.1,26,Everyone
